9374	PPT2	palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]					ATF6_TARGET_GENES	AEBP2_TARGET_GENES														
100532746	PPT2-EGFL8	PPT2-EGFL8 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:48343]					ATF6_TARGET_GENES	AEBP2_TARGET_GENES														
51426	POLK	DNA polymerase kappa [Source:HGNC Symbol;Acc:HGNC:9183]					ATF6_TARGET_GENES				SETD1A_TARGET_GENES			KLF7_TARGET_GENES			RYBP_TARGET_GENES	RAG1_TARGET_GENES			ZNF711_TARGET_GENES	
10087	CERT1	ceramide transporter 1 [Source:HGNC Symbol;Acc:HGNC:2205]					ATF6_TARGET_GENES				SETD1A_TARGET_GENES			KLF7_TARGET_GENES			RYBP_TARGET_GENES	RAG1_TARGET_GENES			ZNF711_TARGET_GENES	
9572	NR1D1	nuclear receptor subfamily 1 group D member 1 [Source:HGNC Symbol;Acc:HGNC:7962]					ATF6_TARGET_GENES						ZSCAN2_TARGET_GENES									
125476	INO80C	INO80 complex subunit C [Source:HGNC Symbol;Acc:HGNC:26994]					ATF6_TARGET_GENES							KLF7_TARGET_GENES	ZNF549_TARGET_GENES							
8831	SYNGAP1	synaptic Ras GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:11497]					ATF6_TARGET_GENES										RYBP_TARGET_GENES					
9524	TECR	trans-2,3-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:4551]					ATF6_TARGET_GENES											RAG1_TARGET_GENES				
54487	DGCR8	DGCR8 microprocessor complex subunit [Source:HGNC Symbol;Acc:HGNC:2847]						AEBP2_TARGET_GENES								CEBPZ_TARGET_GENES	RYBP_TARGET_GENES				ZNF711_TARGET_GENES	
8407	TAGLN2	transgelin 2 [Source:HGNC Symbol;Acc:HGNC:11554]							NFE2L1_TARGET_GENES			ZFP91_TARGET_GENES		KLF7_TARGET_GENES			RYBP_TARGET_GENES					
22870	PPP6R1	protein phosphatase 6 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:29195]							NFE2L1_TARGET_GENES						ZNF549_TARGET_GENES		RYBP_TARGET_GENES		MYOCD_TARGET_GENES			
649446	DLGAP1-AS1	DLGAP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:31676]							NFE2L1_TARGET_GENES						ZNF549_TARGET_GENES							
399665	EEIG1	estrogen-induced osteoclastogenesis regulator 1 [Source:HGNC Symbol;Acc:HGNC:31419]							NFE2L1_TARGET_GENES							CEBPZ_TARGET_GENES		RAG1_TARGET_GENES	MYOCD_TARGET_GENES			
55246	CCDC25	coiled-coil domain containing 25 [Source:HGNC Symbol;Acc:HGNC:25591]							NFE2L1_TARGET_GENES													
106481583	RNU6-1276P	RNA, U6 small nuclear 1276, pseudogene [Source:HGNC Symbol;Acc:HGNC:48239]							NFE2L1_TARGET_GENES													
467	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]							NFE2L1_TARGET_GENES													
378	ARF4	ADP ribosylation factor 4 [Source:HGNC Symbol;Acc:HGNC:655]							NFE2L1_TARGET_GENES													
7283	TUBG1	tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417]							NFE2L1_TARGET_GENES													
162427	RETREG3	reticulophagy regulator family member 3 [Source:HGNC Symbol;Acc:HGNC:27258]							NFE2L1_TARGET_GENES													
84883	AIFM2	apoptosis inducing factor mitochondria associated 2 [Source:HGNC Symbol;Acc:HGNC:21411]							NFE2L1_TARGET_GENES													
7040	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]								IRF5_TARGET_GENES												
80727	TTYH3	tweety family member 3 [Source:HGNC Symbol;Acc:HGNC:22222]								IRF5_TARGET_GENES												
10985	GCN1	GCN1 activator of EIF2AK4 [Source:HGNC Symbol;Acc:HGNC:4199]									SETD1A_TARGET_GENES	ZFP91_TARGET_GENES							MYOCD_TARGET_GENES			
6181	RPLP2	ribosomal protein lateral stalk subunit P2 [Source:HGNC Symbol;Acc:HGNC:10377]									SETD1A_TARGET_GENES			KLF7_TARGET_GENES					MYOCD_TARGET_GENES		ZNF711_TARGET_GENES	
11099	PTPN21	protein tyrosine phosphatase non-receptor type 21 [Source:HGNC Symbol;Acc:HGNC:9651]										ZFP91_TARGET_GENES		KLF7_TARGET_GENES			RYBP_TARGET_GENES			HOXA1_TARGET_GENES	ZNF711_TARGET_GENES	
64118	DUS1L	dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]										ZFP91_TARGET_GENES		KLF7_TARGET_GENES							ZNF711_TARGET_GENES	NCOA2_TARGET_GENES
2550	GABBR1	gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]										ZFP91_TARGET_GENES		KLF7_TARGET_GENES								
27113	BBC3	BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]										ZFP91_TARGET_GENES			ZNF549_TARGET_GENES							
10927	SPIN1	spindlin 1 [Source:HGNC Symbol;Acc:HGNC:11243]										ZFP91_TARGET_GENES					RYBP_TARGET_GENES					
54910	SEMA4C	semaphorin 4C [Source:HGNC Symbol;Acc:HGNC:10731]										ZFP91_TARGET_GENES									ZNF711_TARGET_GENES	
192669	AGO3	argonaute RISC catalytic component 3 [Source:HGNC Symbol;Acc:HGNC:18421]										ZFP91_TARGET_GENES										
284346	ZNF575	zinc finger protein 575 [Source:HGNC Symbol;Acc:HGNC:27606]										ZFP91_TARGET_GENES										
6598	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:HGNC Symbol;Acc:HGNC:11103]										ZFP91_TARGET_GENES										
221545	C6orf136	chromosome 6 open reading frame 136 [Source:HGNC Symbol;Acc:HGNC:21301]										ZFP91_TARGET_GENES										
3006	H1-2	H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]											ZSCAN2_TARGET_GENES			CEBPZ_TARGET_GENES		RAG1_TARGET_GENES				
5481	PPID	peptidylprolyl isomerase D [Source:HGNC Symbol;Acc:HGNC:9257]												KLF7_TARGET_GENES			RYBP_TARGET_GENES					
221908	PPP1R35	protein phosphatase 1 regulatory subunit 35 [Source:HGNC Symbol;Acc:HGNC:28320]												KLF7_TARGET_GENES				RAG1_TARGET_GENES			ZNF711_TARGET_GENES	
10019	SH2B3	SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:29605]												KLF7_TARGET_GENES								
3801	KIFC3	kinesin family member C3 [Source:HGNC Symbol;Acc:HGNC:6326]													ZNF549_TARGET_GENES		RYBP_TARGET_GENES					
100885848	PTGES3L	prostaglandin E synthase 3 like [Source:HGNC Symbol;Acc:HGNC:43943]													ZNF549_TARGET_GENES							
100885850	PTGES3L-AARSD1	PTGES3L-AARSD1 readthrough [Source:HGNC Symbol;Acc:HGNC:43946]													ZNF549_TARGET_GENES							
5287	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [Source:HGNC Symbol;Acc:HGNC:8972]													ZNF549_TARGET_GENES							
23230	VPS13A	vacuolar protein sorting 13 homolog A [Source:HGNC Symbol;Acc:HGNC:1908]													ZNF549_TARGET_GENES							
106480731	C6orf47-AS1	C6orf47 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39767]													ZNF549_TARGET_GENES							
25851	TECPR1	tectonin beta-propeller repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:22214]														CEBPZ_TARGET_GENES						
25798	BRI3	brain protein I3 [Source:HGNC Symbol;Acc:HGNC:1109]														CEBPZ_TARGET_GENES						
10520	ZNF211	zinc finger protein 211 [Source:HGNC Symbol;Acc:HGNC:13003]														CEBPZ_TARGET_GENES						
51004	COQ6	coenzyme Q6, monooxygenase [Source:HGNC Symbol;Acc:HGNC:20233]															RYBP_TARGET_GENES		MYOCD_TARGET_GENES	HOXA1_TARGET_GENES		
56853	CELF4	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]															RYBP_TARGET_GENES		MYOCD_TARGET_GENES			
92211	CDHR1	cadherin related family member 1 [Source:HGNC Symbol;Acc:HGNC:14550]															RYBP_TARGET_GENES					
65108	MARCKSL1	MARCKS like 1 [Source:HGNC Symbol;Acc:HGNC:7142]															RYBP_TARGET_GENES					
8204	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]																RAG1_TARGET_GENES		HOXA1_TARGET_GENES		
100500841	MIR3678	microRNA 3678 [Source:HGNC Symbol;Acc:HGNC:38891]																RAG1_TARGET_GENES				
10098	TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]																RAG1_TARGET_GENES				
1117	CHI3L2	chitinase 3 like 2 [Source:HGNC Symbol;Acc:HGNC:1933]																RAG1_TARGET_GENES				
79648	MCPH1	microcephalin 1 [Source:HGNC Symbol;Acc:HGNC:6954]																RAG1_TARGET_GENES				
1487	CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]																	MYOCD_TARGET_GENES		ZNF711_TARGET_GENES	
8444	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]																	MYOCD_TARGET_GENES			
145483	FAM161B	FAM161 centrosomal protein B [Source:HGNC Symbol;Acc:HGNC:19854]																	MYOCD_TARGET_GENES			
9229	DLGAP1	DLG associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2905]																	MYOCD_TARGET_GENES			
203190	LGI3	leucine rich repeat LGI family member 3 [Source:HGNC Symbol;Acc:HGNC:18711]																	MYOCD_TARGET_GENES			
79961	DENND2D	DENN domain containing 2D [Source:HGNC Symbol;Acc:HGNC:26192]																	MYOCD_TARGET_GENES			
26112	CCDC69	coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:HGNC:24487]																	MYOCD_TARGET_GENES			
26260	FBXO25	F-box protein 25 [Source:HGNC Symbol;Acc:HGNC:13596]																	MYOCD_TARGET_GENES			
100286938	VPS13A-AS1	VPS13A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44167]																	MYOCD_TARGET_GENES			
6440	SFTPC	surfactant protein C [Source:HGNC Symbol;Acc:HGNC:10802]																	MYOCD_TARGET_GENES			
10818	FRS2	fibroblast growth factor receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:16971]																		HOXA1_TARGET_GENES	ZNF711_TARGET_GENES	
55840	EAF2	ELL associated factor 2 [Source:HGNC Symbol;Acc:HGNC:23115]																			ZNF711_TARGET_GENES	
9657	IQCB1	IQ motif containing B1 [Source:HGNC Symbol;Acc:HGNC:28949]																			ZNF711_TARGET_GENES	
2039	DMTN	dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]																			ZNF711_TARGET_GENES	
57380	MRS2	magnesium transporter MRS2 [Source:HGNC Symbol;Acc:HGNC:13785]																			ZNF711_TARGET_GENES	
5828	PEX2	peroxisomal biogenesis factor 2 [Source:HGNC Symbol;Acc:HGNC:9717]																			ZNF711_TARGET_GENES	
100101267	POM121C	POM121 transmembrane nucleoporin C [Source:HGNC Symbol;Acc:HGNC:34005]																				NCOA2_TARGET_GENES
3909	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]																				
83463	MXD3	MAX dimerization protein 3 [Source:HGNC Symbol;Acc:HGNC:14008]																				
6484	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]																				
2885	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]																				
92949	ADAMTSL1	ADAMTS like 1 [Source:HGNC Symbol;Acc:HGNC:14632]																				
146923	RUNDC1	RUN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25418]																				
8899	PRPF4B	pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]																				
79690	GAL3ST4	galactose-3-O-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:24145]																				
11074	TRIM31	tripartite motif containing 31 [Source:HGNC Symbol;Acc:HGNC:16289]																				
166647	ADGRA3	adhesion G protein-coupled receptor A3 [Source:HGNC Symbol;Acc:HGNC:13839]																				
7167	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]																				
57522	SRGAP1	SLIT-ROBO Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17382]																				
65977	PLEKHA3	pleckstrin homology domain containing A3 [Source:HGNC Symbol;Acc:HGNC:14338]																				
2760	GM2A	ganglioside GM2 activator [Source:HGNC Symbol;Acc:HGNC:4367]																				
8527	DGKD	diacylglycerol kinase delta [Source:HGNC Symbol;Acc:HGNC:2851]																				
57827	C6orf47	chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]																				
113612	CYP2U1	cytochrome P450 family 2 subfamily U member 1 [Source:HGNC Symbol;Acc:HGNC:20582]																				
51299	NRN1	neuritin 1 [Source:HGNC Symbol;Acc:HGNC:17972]																				
100422899	MIR3190	microRNA 3190 [Source:HGNC Symbol;Acc:HGNC:38190]																				
130026	ICA1L	islet cell autoantigen 1 like [Source:HGNC Symbol;Acc:HGNC:14442]																				
9064	MAP3K6	mitogen-activated protein kinase kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6858]																				
867	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]																				
51719	CAB39	calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]																				
54762	GRAMD1C	GRAM domain containing 1C [Source:HGNC Symbol;Acc:HGNC:25252]																				
27163	NAAA	N-acylethanolamine acid amidase [Source:HGNC Symbol;Acc:HGNC:736]																				
84501	SPIRE2	spire type actin nucleation factor 2 [Source:HGNC Symbol;Acc:HGNC:30623]																				
56063	TMEM234	transmembrane protein 234 [Source:HGNC Symbol;Acc:HGNC:28837]																				
8668	EIF3I	eukaryotic translation initiation factor 3 subunit I [Source:HGNC Symbol;Acc:HGNC:3272]																				
55191	NADSYN1	NAD synthetase 1 [Source:HGNC Symbol;Acc:HGNC:29832]																				
25805	BAMBI	BMP and activin membrane bound inhibitor [Source:HGNC Symbol;Acc:HGNC:30251]																				
5580	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]																				
1727	CYB5R3	cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:HGNC:2873]																				
5697	PYY	peptide YY [Source:HGNC Symbol;Acc:HGNC:9748]																				
7804	LRP8	LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700]																				
10076	PTPRU	protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]																				
864	RUNX3	RUNX family transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]																				
2668	GDNF	glial cell derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:4232]																				
80351	TNKS2	tankyrase 2 [Source:HGNC Symbol;Acc:HGNC:15677]																				
4487	MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]																				
64850	ETNPPL	ethanolamine-phosphate phospho-lyase [Source:HGNC Symbol;Acc:HGNC:14404]																				
100507633	TNKS2-DT	TNKS2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:45173]																				
363	AQP6	aquaporin 6 [Source:HGNC Symbol;Acc:HGNC:639]																				
162417	NAGS	N-acetylglutamate synthase [Source:HGNC Symbol;Acc:HGNC:17996]																				
284085	KRT18P55	keratin 18 pseudogene 55 [Source:HGNC Symbol;Acc:HGNC:26874]																				
4838	NODAL	nodal growth differentiation factor [Source:HGNC Symbol;Acc:HGNC:7865]																				
100505385	IQCJ-SCHIP1	IQCJ-SCHIP1 readthrough [Source:HGNC Symbol;Acc:HGNC:38842]																				
100616282	MIR4738	microRNA 4738 [Source:HGNC Symbol;Acc:HGNC:41679]																				
284119	CAVIN1	caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]																				
