106480731	C6orf47-AS1	C6orf47 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39767]																				
106481583	RNU6-1276P	RNA, U6 small nuclear 1276, pseudogene [Source:HGNC Symbol;Acc:HGNC:48239]																				
10927	SPIN1	spindlin 1 [Source:HGNC Symbol;Acc:HGNC:11243]																				
11099	PTPN21	protein tyrosine phosphatase non-receptor type 21 [Source:HGNC Symbol;Acc:HGNC:9651]																				
1117	CHI3L2	chitinase 3 like 2 [Source:HGNC Symbol;Acc:HGNC:1933]																				
113251	LARP4	La ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:24320]																				
116238	TLCD1	TLC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25177]																				
118426	BORCS5	BLOC-1 related complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:17950]																				
126298	IRGQ	immunity related GTPase Q [Source:HGNC Symbol;Acc:HGNC:24868]																				
130026	ICA1L	islet cell autoantigen 1 like [Source:HGNC Symbol;Acc:HGNC:14442]																				
133015	PACRGL	parkin coregulated like [Source:HGNC Symbol;Acc:HGNC:28442]																				
145483	FAM161B	FAM161 centrosomal protein B [Source:HGNC Symbol;Acc:HGNC:19854]																				
146923	RUNDC1	RUN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25418]																				
151188	ARL6IP6	ADP ribosylation factor like GTPase 6 interacting protein 6 [Source:HGNC Symbol;Acc:HGNC:24048]																				
162427	RETREG3	reticulophagy regulator family member 3 [Source:HGNC Symbol;Acc:HGNC:27258]																				
166647	ADGRA3	adhesion G protein-coupled receptor A3 [Source:HGNC Symbol;Acc:HGNC:13839]																				
221545	C6orf136	chromosome 6 open reading frame 136 [Source:HGNC Symbol;Acc:HGNC:21301]																				
221908	PPP1R35	protein phosphatase 1 regulatory subunit 35 [Source:HGNC Symbol;Acc:HGNC:28320]																				
23230	VPS13A	vacuolar protein sorting 13 homolog A [Source:HGNC Symbol;Acc:HGNC:1908]																				
25851	TECPR1	tectonin beta-propeller repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:22214]																				
26024	PTCD1	pentatricopeptide repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:22198]																				
26112	CCDC69	coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:HGNC:24487]																				
26260	FBXO25	F-box protein 25 [Source:HGNC Symbol;Acc:HGNC:13596]																				
27346	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]																				
284085	KRT18P55	keratin 18 pseudogene 55 [Source:HGNC Symbol;Acc:HGNC:26874]																				
284086	NEK8	NIMA related kinase 8 [Source:HGNC Symbol;Acc:HGNC:13387]																				
284346	ZNF575	zinc finger protein 575 [Source:HGNC Symbol;Acc:HGNC:27606]																				
399665	EEIG1	estrogen-induced osteoclastogenesis regulator 1 [Source:HGNC Symbol;Acc:HGNC:31419]																				
401320	GARS1-DT	GARS1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:48951]																				
441094	NR2F1-AS1	NR2F1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48622]																				
4901	NRL	neural retina leucine zipper [Source:HGNC Symbol;Acc:HGNC:8002]																				
503693	LOH12CR2	loss of heterozygosity on chromosome 12, region 2 [Source:HGNC Symbol;Acc:HGNC:26524]																				
51278	IER5	immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]																				
51430	SUCO	SUN domain containing ossification factor [Source:HGNC Symbol;Acc:HGNC:1240]																				
54762	GRAMD1C	GRAM domain containing 1C [Source:HGNC Symbol;Acc:HGNC:25252]																				
54910	SEMA4C	semaphorin 4C [Source:HGNC Symbol;Acc:HGNC:10731]																				
55139	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]																				
55246	CCDC25	coiled-coil domain containing 25 [Source:HGNC Symbol;Acc:HGNC:25591]																				
55249	YY1AP1	YY1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30935]																				
56063	TMEM234	transmembrane protein 234 [Source:HGNC Symbol;Acc:HGNC:28837]																				
56853	CELF4	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]																				
57827	C6orf47	chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]																				
58506	SCAF1	SR-related CTD associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30403]																				
64118	DUS1L	dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]																				
641649	TMEM91	transmembrane protein 91 [Source:HGNC Symbol;Acc:HGNC:32393]																				
6433	SFSWAP	splicing factor SWAP [Source:HGNC Symbol;Acc:HGNC:10790]																				
649446	DLGAP1-AS1	DLGAP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:31676]																				
65108	MARCKSL1	MARCKS like 1 [Source:HGNC Symbol;Acc:HGNC:7142]																				
7165	TPD52L2	TPD52 like 2 [Source:HGNC Symbol;Acc:HGNC:12007]																				
79177	ZNF576	zinc finger protein 576 [Source:HGNC Symbol;Acc:HGNC:28357]																				
79690	GAL3ST4	galactose-3-O-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:24145]																				
79842	ZBTB3	zinc finger and BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22918]																				
79955	PDZD7	PDZ domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26257]																				
805	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]																				
80863	PRRT1	proline rich transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13943]																				
81855	SFXN3	sideroflexin 3 [Source:HGNC Symbol;Acc:HGNC:16087]																				
83463	MXD3	MAX dimerization protein 3 [Source:HGNC Symbol;Acc:HGNC:14008]																				
84305	PYM1	PYM homolog 1, exon junction complex associated factor [Source:HGNC Symbol;Acc:HGNC:30258]																				
8444	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]																				
84501	SPIRE2	spire type actin nucleation factor 2 [Source:HGNC Symbol;Acc:HGNC:30623]																				
85451	UNK	unk zinc finger [Source:HGNC Symbol;Acc:HGNC:29369]																				
9064	MAP3K6	mitogen-activated protein kinase kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6858]																				
92211	CDHR1	cadherin related family member 1 [Source:HGNC Symbol;Acc:HGNC:14550]																				
93627	TBCK	TBC1 domain containing kinase [Source:HGNC Symbol;Acc:HGNC:28261]																				
9911	TMCC2	transmembrane and coiled-coil domain family 2 [Source:HGNC Symbol;Acc:HGNC:24239]																				
